"Day","Hour","DL_1k"
"16/07/24","19:56:33","900.55"
"16/07/24","19:57:21","1028.83"
"16/07/24","20:14:33","159.84"
"16/07/24","20:19:27","164.43"
"16/07/24","20:20:29","165.51"
"16/07/24","20:22:00","167.04"
"17/07/24","11:16:49","369.18"
"20/07/24","08:55:31","928.13"
"20/07/24","08:56:51","929.69"
"20/07/24","08:58:11","931.05"
"20/07/24","09:16:25","954.08"
"20/07/24","09:19:03","957.4"
"20/07/24","09:27:06","967.5"
"20/07/24","09:28:08","968.76"
"20/07/24","09:29:28","970.39"
"20/07/24","09:30:13","971.52"
